INFO   | jvm 1    | main    | 2015/11/04 09:01:43.303 | INFO  [localhost-startStop-1] [hybrisserver] commons 5.4.0.5 [p*ci]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.303 | INFO  [localhost-startStop-1] [hybrisserver] processing->(scripting,commons) 5.4.0.5 [p*ci]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.304 | INFO  [localhost-startStop-1] [hybrisserver] impex->processing 5.4.0.5 [p*ci]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.304 | INFO  [localhost-startStop-1] [hybrisserver] validation->impex 5.4.0.5 [p*ci]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.305 | INFO  [localhost-startStop-1] [hybrisserver] catalog->(validation,commons) 5.4.0.5 [p*ci]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.305 | INFO  [localhost-startStop-1] [hybrisserver] europe1->(catalog,impex) 5.4.0.5 [p*ci]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.305 | INFO  [localhost-startStop-1] [hybrisserver] platformservices->(paymentstandard,deliveryzone,processing,impex,europe1) 5.4.0.5 [p*cb]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.306 | INFO  [localhost-startStop-1] [hybrisserver] workflow->(platformservices,catalog,commons,processing) 5.4.0.5 [p*ci]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.307 | INFO  [localhost-startStop-1] [hybrisserver] hac->(platformservices,catalog,processing,impex) 5.4.0.5 [p*w]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.307 | INFO  [localhost-startStop-1] [hybrisserver] comments->(catalog,processing,impex,workflow) 5.4.0.5 [p*ci]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.307 | INFO  [localhost-startStop-1] [hybrisserver] advancedsavedquery->(catalog,processing,impex) 5.4.0.5 [p*ci]
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.308 | INFO  [localhost-startStop-1] [hybrisserver] print 5.4.0.5 [ciw] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-print\print
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.308 | INFO  [localhost-startStop-1] [hybrisserver] classificationsystems 5.4.0.5 [ci] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-content\classificationsystems
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.309 | INFO  [localhost-startStop-1] [hybrisserver] bmecat 5.4.0.5 [ciw] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-content\bmecat
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.310 | INFO  [localhost-startStop-1] [hybrisserver] oci 5.4.0.5 [ciw] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-commerce\oci
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.310 | INFO  [localhost-startStop-1] [hybrisserver] solrfacetsearch 5.4.0.5 [cibw] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-commerce\solrfacetsearch
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.311 | INFO  [localhost-startStop-1] [hybrisserver] virtualjdbc->catalog 5.4.0.5 [cw] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-platform-optional\virtualjdbc
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.312 | INFO  [localhost-startStop-1] [hybrisserver] lucenesearch->processing 5.4.0.5 [ci] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-platform-optional\lucenesearch
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.312 | INFO  [localhost-startStop-1] [hybrisserver] ldap->(catalog,processing,impex) 5.4.0.5 [ci] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-platform-optional\ldap
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.313 | INFO  [localhost-startStop-1] [hybrisserver] hmc->scripting 5.4.0.5 [ciw] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-platform-optional\hmc
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.314 | INFO  [localhost-startStop-1] [hybrisserver] lucenesearchhmc->(lucenesearch,hmc) <-?-printcockpit 5.4.0.5 [?h] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-platform-optional\lucenesearchhmc
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.315 | INFO  [localhost-startStop-1] [hybrisserver] printhmc->(print,hmc) 5.4.0.5 [cibh] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-print\printhmc
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.316 | INFO  [localhost-startStop-1] [hybrisserver] bmecathmc->(bmecat,hmc) 5.4.0.5 [cibh] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-content\bmecathmc
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.316 | INFO  [localhost-startStop-1] [hybrisserver] wishlist->hmc 5.4.0.5 [cih] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-commerce\wishlist
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.317 | INFO  [localhost-startStop-1] [hybrisserver] solrfacetsearchhmc->(solrfacetsearch,hmc) 5.4.0.5 [cibh] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-commerce\solrfacetsearchhmc
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.318 | INFO  [localhost-startStop-1] [hybrisserver] customerreview->hmc 5.4.0.5 [cih] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-commerce\customerreview
INFO   | jvm 1    | main    | 2015/11/04 09:01:43.318 | INFO  [localhost-startStop-1] [hybrisserver] voucher->hmc 5.4.0.5 [cih] path:C:\HybrisCommerceTrail5.4\hybris\bin\ext-commerce\voucher
